Name;lat;lng;rating
Moletsane Secondary School;-26.2545499;27.85119;5
BHUKULANI HIGH SCHOOL;-26.233524;27.867531;4.7
St Matthews School;-26.259996;27.881219;3.8
Adelaide Thambo School;-26.2488437;27.8764192;3
Naledi High School;-26.2506089;27.831194;3.6
Mapetla High School;-26.27364;27.84619;3
Meadowlands High School;-26.215708;27.895514;3.3
Phafogang Secondary School;-26.2673203;27.8671981;2
Ditau Primary School;-26.24879;27.92174;5
Immaculata Secondary School;-26.2527729;27.942053;4.5
Aurora Girls High School;-26.2401746;27.8470472;4
Megatong Primary School;-26.27573;27.8514;4
Forte Secondary School;-26.2144492;27.8672428;3.8
Daliwonga Secondary School;-26.2320407;27.8891019;4.2
Curtis Nkondo School Of Specialization;-26.2391627;27.8221496;4
Morris Isaacson High School;-26.24608;27.872452;4.5
Saint Martin De Porres High School;-26.22805;27.91265;4.8
Anchor High School;-26.219638;27.914014;3.8
Rebone Primary School;-26.25611;27.81666;3.5
Altmont Technical High School;-26.2812357;27.8424725;4.8
Glenridge Primary School;-26.2737423;27.7893531;5
Nomzamo Madikizela Mandela Primary School;-26.186226;27.831177;0
St Peter Claver Catholic School;-26.2720959;27.900649;2.5
Noordgesig Secondary School;-26.22825;27.93543;4
Saint Ives Primary School;-26.2950999;27.87319;4.8
Lufhereng High School;-26.2319729;27.7985155;5
Silver Oaks Secondary School;-26.2902399;27.91733;4.6
Mayibuye Primary School;-26.2206825;27.8185942;2.7
Basa Primary School;-26.2745949;27.804556;2.4
Kliptown Primary School;-26.2953999;27.88856;5
Emndeni Primary School;-26.2429169;27.821562;0
Thulani Secondary School;-26.2168081;27.8277375;3.7
Winnie Madikizela-Mandela School;-26.2729123;27.8689629;5
Kwadedangendlale High School;-26.2347039;27.844361;4
Eldorado Park Primary School;-26.295086;27.8976761;2.5
Siyabonga Secondary School;-26.190839;27.862424;4.8
Forte High School;-26.214617;27.866853;4.8
Delrado Primary School;-26.3034453;27.8948003;4
Sivuleleni Primary School;-26.2351399;27.84317;4.5
Mxolisi Primary School;-26.23968;27.86186;0
Emisebeni Junior Primary School;-26.23742;27.88147;5
Klip Valley Primary School;-26.242442;27.808396;0
Adelaide Tambo School for the Physically Challenged;-26.2496042;27.8760558;0
Thakhisa Primary School;-26.2111451;27.8810477;4
Mafori - Mphahlele High School;-26.255799;27.863304;5
George Khosa Secondary School;-26.22159;27.86087;3.5
Hector Peterson School/Ukhozi Primary School;-26.2264033;27.8492996;0
Kholwani Primary School;-26.2428299;27.852;3.6
Indyebo Primary School;-26.23827;27.84428;0
Bafikile Primary School;-26.27106;27.86843;4
Ikusasalethu Secondary School;-26.1918497;27.8313482;0
Eldridge Primary School;-26.29739;27.92046;3
Dr Vilakazi High School;-26.238362;27.830724;4.1
Gazankulu Primary School;-26.2860799;27.86421;5
Lancea Vale Secondary School;-26.2871873;27.9130573;4.3
Eldocrest Primary School;-26.2869591;27.8975504;3.9
Mncube Secondary School;-26.22761;27.88115;3.7
Ibhongo Secondary School;-26.2725039;27.874548;4
Vukazenzele Primary School;-26.2349599;27.87812;0
Thathani Primary School;-26.238322;27.844404;0
Boston City Campus & Business College - Maponya Mall;-26.2581542;27.9016007;4.7
South West Gauteng TVET College - Roodeport;-26.2135569;27.874307;3.5
South West College Corporate Office;-26.2649429;27.8605697;4.2
Soweto College of Education;-26.2596399;27.9112851;3
South West College;-26.2136639;27.873929;0
Pace Community College;-26.240036;27.854647;4
Protea Glen College;-26.276664;27.821564;4.3
WO BIBLE COLLEGE;-26.26606;27.87366;5
Johannesburg Bible College. Soweto Campus;-26.2569387;27.9158981;0
Izipho Zomphakathi Multiskills;-26.2768671;27.8648;0
Funda Community College;-26.2577529;27.934676;4
PC Training & Business College;-26.258319;27.942437;0
Teacher Development Centre (Central District D14);-26.2660226;27.8742959;0
Life College Of Learning Westrand;-26.1919564;27.9241679;0
JORDAN THEOLOGGICAL INSTITUTE;-26.202619;27.876563;0
Lebo Sibi;-26.2757141;27.8117332;0
BAM PUBLISHERS (PTY) LTD;-26.20312;27.877507;2
Prestige College;-26.2719769;27.7706557;0
South West Gauteng College - Roodepoort Campus;-26.1404831;27.8677946;2.6
Rhodes FET Technical College;-26.3203839;27.825767;3
Johannesburg Bible College;-26.1893724;27.9931137;5
